,Seed query,Entry,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Topological domain,Transmembrane,Subcellular location [CC],Intramembrane
1,,A3KME6,A3KME6_HUMAN,UDP-glucuronosyltransferase (EC 2.4.1.17),UGT1A4,Homo sapiens (Human),531,cellular glucuronidation [GO:0052695],endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; cellular glucuronidation [GO:0052695],enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803],,"TRANSMEM 489..512; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU362059""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}. Membrane {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}.",
2,,Q0VAJ1,Q0VAJ1_HUMAN,UDP-glucuronosyltransferase (EC 2.4.1.17),UGT1A4,Homo sapiens (Human),445,cellular glucuronidation [GO:0052695],endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; cellular glucuronidation [GO:0052695],enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803],,,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}. Membrane {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}.",
3,,A9UKD7,A9UKD7_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),289,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
4,,A9UKD8,A9UKD8_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),289,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
5,,A9UKD9,A9UKD9_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),289,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
6,,B8K2E8,B8K2E8_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),59,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
7,,B8K2E9,B8K2E9_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),59,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
8,,B8K2F1,B8K2F1_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),59,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
9,,B8K2F4,B8K2F4_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),59,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
10,,B8K2F8,B8K2F8_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1A4,Homo sapiens (Human),59,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
11,,Q53QD2,Q53QD2_HUMAN,UDP-glucuronosyltransferase 1A4,UGT1 UGT1A4,Homo sapiens (Human),289,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
12,,Q8WX86,Q8WX86_HUMAN,UDP-glucuronosyltransferase,UGT1A4,Homo sapiens (Human),287,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
13,,Q8WX87,Q8WX87_HUMAN,UDP-glucuronosyltransferase,UGT1A4,Homo sapiens (Human),287,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
14,,Q8WX88,Q8WX88_HUMAN,UDP-glucuronosyltransferase,UGT1A4,Homo sapiens (Human),287,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
0,"(gene:""CYP39A1"")",Q9NYL5,CP39A_HUMAN,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.26) (Cytochrome P450 39A1) (hCYP39A1) (Oxysterol 7-alpha-hydroxylase),CYP39A1,Homo sapiens (Human),469,bile acid biosynthetic process [GO:0006699]; cholesterol catabolic process [GO:0006707]; cholesterol homeostasis [GO:0042632]; digestion [GO:0007586]; sterol metabolic process [GO:0016125],endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231],endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; 24-hydroxycholesterol 7alpha-hydroxylase activity [GO:0033782]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxysterol 7-alpha-hydroxylase activity [GO:0008396]; steroid 7-alpha-hydroxylase activity [GO:0008387]; bile acid biosynthetic process [GO:0006699]; cholesterol catabolic process [GO:0006707]; cholesterol homeostasis [GO:0042632]; digestion [GO:0007586]; sterol metabolic process [GO:0016125],24-hydroxycholesterol 7alpha-hydroxylase activity [GO:0033782]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxysterol 7-alpha-hydroxylase activity [GO:0008396]; steroid 7-alpha-hydroxylase activity [GO:0008387],,"TRANSMEM 267..287; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 352..372; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 412..432; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q64654}; Multi-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q64654}; Multi-pass membrane protein {ECO:0000255}.,
1,,A0A087WTD2,A0A087WTD2_HUMAN,Cytochrome P450 family 39 subfamily A member 1,CYP39A1,Homo sapiens (Human),297,organic hydroxy compound biosynthetic process [GO:1901617]; small molecule biosynthetic process [GO:0044283]; steroid biosynthetic process [GO:0006694],intracellular membrane-bounded organelle [GO:0043231],"intracellular membrane-bounded organelle [GO:0043231]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; organic hydroxy compound biosynthetic process [GO:1901617]; small molecule biosynthetic process [GO:0044283]; steroid biosynthetic process [GO:0006694]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,
0,"(gene:""UGT1A8"")",Q9HAW9,UD18_HUMAN,UDP-glucuronosyltransferase 1A8 (UGT1A8) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-8) (UDPGT 1-8) (UGT1*8) (UGT1-08) (UGT1.8) (UDP-glucuronosyltransferase 1-H) (UGT-1H) (UGT1H),UGT1A8 GNT1 UGT1,Homo sapiens (Human),530,cellular glucuronidation [GO:0052695]; coumarin metabolic process [GO:0009804]; fatty acid metabolic process [GO:0006631]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; negative regulation of steroid metabolic process [GO:0045939]; retinoic acid metabolic process [GO:0042573]; steroid metabolic process [GO:0008202]; xenobiotic glucuronidation [GO:0052697]; xenobiotic metabolic process [GO:0006805],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; fatty acid binding [GO:0005504]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; steroid binding [GO:0005496]; cellular glucuronidation [GO:0052695]; coumarin metabolic process [GO:0009804]; fatty acid metabolic process [GO:0006631]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; negative regulation of steroid metabolic process [GO:0045939]; retinoic acid metabolic process [GO:0042573]; steroid metabolic process [GO:0008202]; xenobiotic glucuronidation [GO:0052697]; xenobiotic metabolic process [GO:0006805],enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; fatty acid binding [GO:0005504]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; steroid binding [GO:0005496],,"TRANSMEM 488..504; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:17179145}; Single-pass membrane protein {ECO:0000255}.,
1,,Q5DSZ6,Q5DSZ6_HUMAN,UDP-glucuronosyltransferase (EC 2.4.1.17),UGT1A8 hCG_2039726,Homo sapiens (Human),530,cellular glucuronidation [GO:0052695],endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; cellular glucuronidation [GO:0052695],enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803],,"TRANSMEM 488..511; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU362059""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}. Membrane {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}.",
2,,A9JQZ1,A9JQZ1_HUMAN,UDP-glucuronosyltransferase 1A8,UGT1A8,Homo sapiens (Human),286,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
3,,A9JQZ2,A9JQZ2_HUMAN,UDP-glucuronosyltransferase 1A8,UGT1A8,Homo sapiens (Human),286,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
4,,A9JQZ4,A9JQZ4_HUMAN,UDP-glucuronosyltransferase 1A8,UGT1A8,Homo sapiens (Human),286,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
0,"(gene:""CYP3A4"")",P08684,CP3A4_HUMAN,"Cytochrome P450 3A4 (EC 1.14.14.1) (1,4-cineole 2-exo-monooxygenase) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55)",CYP3A4 CYP3A3,Homo sapiens (Human),503,aflatoxin metabolic process [GO:0046222]; alkaloid catabolic process [GO:0009822]; androgen metabolic process [GO:0008209]; cholesterol metabolic process [GO:0008203]; estrogen metabolic process [GO:0008210]; lipid hydroxylation [GO:0002933]; lipid metabolic process [GO:0006629]; long-chain fatty acid biosynthetic process [GO:0042759]; monoterpenoid metabolic process [GO:0016098]; oxidative demethylation [GO:0070989]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; steroid catabolic process [GO:0006706]; steroid metabolic process [GO:0008202]; vitamin D catabolic process [GO:0042369]; vitamin D metabolic process [GO:0042359]; xenobiotic catabolic process [GO:0042178]; xenobiotic metabolic process [GO:0006805],cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231],"cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; 1,8-cineole 2-exo-monooxygenase activity [GO:0102320]; 1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity [GO:0062181]; anandamide 11,12 epoxidase activity [GO:0062188]; anandamide 14,15 epoxidase activity [GO:0062189]; anandamide 8,9 epoxidase activity [GO:0062187]; aromatase activity [GO:0070330]; caffeine oxidase activity [GO:0034875]; enzyme binding [GO:0019899]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; estrogen 2-hydroxylase activity [GO:0101021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxygen binding [GO:0019825]; quinine 3-monooxygenase activity [GO:0050591]; retinoic acid 4-hydroxylase activity [GO:0008401]; steroid binding [GO:0005496]; steroid hydroxylase activity [GO:0008395]; testosterone 6-beta-hydroxylase activity [GO:0050649]; vitamin D 24-hydroxylase activity [GO:0070576]; vitamin D3 25-hydroxylase activity [GO:0030343]; aflatoxin metabolic process [GO:0046222]; alkaloid catabolic process [GO:0009822]; androgen metabolic process [GO:0008209]; cholesterol metabolic process [GO:0008203]; estrogen metabolic process [GO:0008210]; lipid hydroxylation [GO:0002933]; lipid metabolic process [GO:0006629]; long-chain fatty acid biosynthetic process [GO:0042759]; monoterpenoid metabolic process [GO:0016098]; oxidative demethylation [GO:0070989]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; steroid catabolic process [GO:0006706]; steroid metabolic process [GO:0008202]; vitamin D catabolic process [GO:0042369]; vitamin D metabolic process [GO:0042359]; xenobiotic catabolic process [GO:0042178]; xenobiotic metabolic process [GO:0006805]","1,8-cineole 2-exo-monooxygenase activity [GO:0102320]; 1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity [GO:0062181]; anandamide 11,12 epoxidase activity [GO:0062188]; anandamide 14,15 epoxidase activity [GO:0062189]; anandamide 8,9 epoxidase activity [GO:0062187]; aromatase activity [GO:0070330]; caffeine oxidase activity [GO:0034875]; enzyme binding [GO:0019899]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; estrogen 2-hydroxylase activity [GO:0101021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxygen binding [GO:0019825]; quinine 3-monooxygenase activity [GO:0050591]; retinoic acid 4-hydroxylase activity [GO:0008401]; steroid binding [GO:0005496]; steroid hydroxylase activity [GO:0008395]; testosterone 6-beta-hydroxylase activity [GO:0050649]; vitamin D 24-hydroxylase activity [GO:0070576]; vitamin D3 25-hydroxylase activity [GO:0030343]",,"TRANSMEM 2..22; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Microsome membrane {ECO:0000269|PubMed:21576599}; Single-pass membrane protein.,
1,,Q86SK3,Q86SK3_HUMAN,Cytochrome P450 3A (EC 1.14.14.-),CYP3A43/CYP3A4,Homo sapiens (Human),503,xenobiotic metabolic process [GO:0006805],endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020],"endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; testosterone 6-beta-hydroxylase activity [GO:0050649]; xenobiotic metabolic process [GO:0006805]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; testosterone 6-beta-hydroxylase activity [GO:0050649]",,"TRANSMEM 6..25; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 215..233; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368049}. Microsome membrane {ECO:0000256|RuleBase:RU368049}.,
2,,A0A494C0W7,A0A494C0W7_HUMAN,Cytochrome P450 family 3 subfamily A member 4,CYP3A4,Homo sapiens (Human),454,,membrane [GO:0016020],"membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",,"TRANSMEM 170..192; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
3,,A0A499FJM4,A0A499FJM4_HUMAN,Cytochrome P450 3A (EC 1.14.14.-),CYP3A4,Homo sapiens (Human),534,,endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",,"TRANSMEM 219..241; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368049}. Microsome membrane {ECO:0000256|RuleBase:RU368049}.,
4,,E7EVM8,E7EVM8_HUMAN,Cytochrome P450 family 3 subfamily A member 4,CYP3A4,Homo sapiens (Human),353,,membrane [GO:0016020],"membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,"TRANSMEM 12..31; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 69..91; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
5,,Q6GRK0,Q6GRK0_HUMAN,Cytochrome P450 3A (EC 1.14.14.-),CYP3A4 hCG_17094 tcag7.603,Homo sapiens (Human),503,,endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",,"TRANSMEM 219..241; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368049}. Microsome membrane {ECO:0000256|RuleBase:RU368049}.,
6,,Q7Z448,Q7Z448_HUMAN,Cytochrome P450 3A (EC 1.14.14.-),CYP3A4,Homo sapiens (Human),430,,endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",,"TRANSMEM 146..168; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368049}. Microsome membrane {ECO:0000256|RuleBase:RU368049}.,
7,,Q86SK2,Q86SK2_HUMAN,Cytochrome P450,CYP3A43/CYP3A4,Homo sapiens (Human),353,xenobiotic metabolic process [GO:0006805],membrane [GO:0016020],"membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; testosterone 6-beta-hydroxylase activity [GO:0050649]; xenobiotic metabolic process [GO:0006805]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; testosterone 6-beta-hydroxylase activity [GO:0050649]",,"TRANSMEM 12..31; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 69..91; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
8,,C9JBD2,C9JBD2_HUMAN,Cytochrome P450 family 3 subfamily A member 4,CYP3A4,Homo sapiens (Human),153,,,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,
0,"(gene:""UGT1A9"")",O60656,UD19_HUMAN,UDP-glucuronosyltransferase 1A9 (UGT1A9) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-9) (UDPGT 1-9) (UGT1*9) (UGT1-09) (UGT1.9) (UDP-glucuronosyltransferase 1-I) (UGT-1I) (UGT1I) (lugP4),UGT1A9 GNT1 UGT1,Homo sapiens (Human),530,cellular glucuronidation [GO:0052695]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; retinoic acid metabolic process [GO:0042573]; xenobiotic glucuronidation [GO:0052697]; xenobiotic metabolic process [GO:0006805],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; glucuronosyltransferase activity [GO:0015020]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; cellular glucuronidation [GO:0052695]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; retinoic acid metabolic process [GO:0042573]; xenobiotic glucuronidation [GO:0052697]; xenobiotic metabolic process [GO:0006805],enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; glucuronosyltransferase activity [GO:0015020]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972],,"TRANSMEM 488..504; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:17179145}; Single-pass membrane protein {ECO:0000255}.,
1,,Q5DSZ5,Q5DSZ5_HUMAN,UDP-glucuronosyltransferase (EC 2.4.1.17),UGT1A9 hCG_2039726,Homo sapiens (Human),530,cellular glucuronidation [GO:0052695],endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; cellular glucuronidation [GO:0052695],enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803],,"TRANSMEM 488..511; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU362059""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}. Membrane {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167, ECO:0000256|RuleBase:RU362059}.",
2,,A9UKF4,A9UKF4_HUMAN,UDP-glucuronosyltransferase 1A9,UGT1A9,Homo sapiens (Human),73,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
3,,A9UKF7,A9UKF7_HUMAN,UDP-glucuronosyltransferase 1A9,UGT1A9,Homo sapiens (Human),73,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
4,,Q330M4,Q330M4_HUMAN,UDP-glucuronosyltransferase 1A9,UGT1A9,Homo sapiens (Human),326,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
5,,Q4R0Z6,Q4R0Z6_HUMAN,UDP-glucuronosyltransferase variant (EC 2.4.1.17),UGT1A9,Homo sapiens (Human),285,,,glucuronosyltransferase activity [GO:0015020],glucuronosyltransferase activity [GO:0015020],,,,
6,,Q4R0Z7,Q4R0Z7_HUMAN,UDP-glucuronosyltransferase (EC 2.4.1.17),UGT1A9,Homo sapiens (Human),285,,,glucuronosyltransferase activity [GO:0015020],glucuronosyltransferase activity [GO:0015020],,,,
7,,Q53E75,Q53E75_HUMAN,UDP-glucuronosyltransferase,UGT1A9,Homo sapiens (Human),285,,,UDP-glycosyltransferase activity [GO:0008194],UDP-glycosyltransferase activity [GO:0008194],,,,
